"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.66953001894227,0.702,0.024,0,"2","S100A14"
0,5.63753718999012,0.273,0.005,0,"2","FAM71E1"
0,5.51528850450246,0.364,0.007,0,"2","FOLR3"
1.0974627371396e-287,5.48499679889525,0.23,0.004,3.80226939909387e-283,"2","MIR3654"
0,5.3603407579234,0.802,0.046,0,"2","CDKN2A"
0,5.29678933350172,0.489,0.017,0,"2","PNOC"
5.51856807692791e-313,5.03673671394335,0.352,0.02,1.91196309593244e-308,"2","MMP7"
7.29245012589987e-241,4.92754834128546,0.227,0.008,2.52654227061927e-236,"2","AC026785.2"
0,4.91863790726556,0.309,0.011,0,"2","IRX3"
0,4.89367030765698,0.738,0.048,0,"2","SLC39A4"
4.15185299952752e-278,4.87676254021863,0.255,0.008,1.43845099021631e-273,"2","AXDND1"
0,4.71634782813788,0.885,0.109,0,"2","CYC1"
0,4.71513712111672,0.615,0.02,0,"2","MT1G"
0,4.70013993611639,0.367,0.013,0,"2","PRSS21"
0,4.32124701818221,0.611,0.038,0,"2","BTNL9"
0,4.13137189775925,0.88,0.156,0,"2","LY6E"
2.60155935073124e-281,4.05706974028506,0.306,0.016,9.01336252654345e-277,"2","CRNDE"
0,4.01679088800186,0.477,0.034,0,"2","CLDN7"
1.02184885301446e-287,3.99299018758232,0.324,0.018,3.5402975361539e-283,"2","MFSD3"
0,3.98685350933171,0.483,0.035,0,"2","ZNF90"
0,3.9790895458747,0.564,0.047,0,"2","PPP1R16A"
0,3.97861530834514,0.583,0.05,0,"2","CHCHD10"
8.4951243204806e-233,3.91917023436868,0.292,0.02,2.94322077207371e-228,"2","MTRNR2L3"
0,3.9152229374674,0.562,0.04,0,"2","KRTCAP3"
0,3.86487959174451,0.486,0.039,0,"2","NACA2"
0,3.860533768446,0.991,0.736,0,"2","RPL8"
0,3.85357860004545,0.762,0.094,0,"2","CLDN3"
1.97186646685725e-179,3.83169131940793,0.211,0.013,6.83172856107362e-175,"2","HOXD8"
9.92553179212772e-318,3.80183857376389,0.424,0.034,3.43879974470057e-313,"2","EXOSC4"
5.63069561172433e-239,3.79057122581559,0.302,0.021,1.95081080163801e-234,"2","NRBP2"
0,3.75799194822726,0.464,0.035,0,"2","CYHR1"
0,3.71984331032338,0.514,0.043,0,"2","S100A1"
0,3.71504876854391,0.821,0.173,0,"2","ATP5J2"
1.43017764751035e-191,3.66183202139244,0.223,0.013,4.95499347756438e-187,"2","THEM6"
7.63741347922912e-291,3.65901775852104,0.395,0.032,2.64605827401372e-286,"2","PTP4A3"
1.42981044389076e-260,3.64714202198028,0.344,0.026,4.95372126390394e-256,"2","NAPRT"
1.13502730052266e-266,3.62637852648765,0.55,0.091,3.93241558539081e-262,"2","BNIP3"
1.68071869054938e-213,3.61724746090573,0.295,0.024,5.82301797527737e-209,"2","TK1"
